,au,bp,se.au,se.bp,v,c,pchi
881,0.992013128914888,0.0126007191949309,0.00237487390617951,0.000412916895475895,-0.0856070102235539,2.32390792683317,0.00679646684272428
882,0,0,0,0,0,0,0
883,0.977028014661482,0.0106174054532943,0.0055478008790007,0.00035889227475656,0.153937802287303,2.14984550000259,0.831488646121639
884,0.984938044576816,0.000394909688556109,0.0220119255141561,9.43689211642049e-05,0.593940424462941,2.76239771442339,0.860155945448904
885,0.988162196756145,0.00280243871049153,0.00613713250126401,0.000202481054999007,0.253845377932936,2.51619831018501,0.332359697271712
886,0.54821846827725,0.000109466747952323,0.500639428767556,6.33112870060552e-05,1.78747111224136,1.90863268105851,0.911219949754921
887,0.839722173639172,0.000254906241612955,0.140327294784114,7.73266312181316e-05,1.24111520521369,2.23443188249529,0.35993223064084
888,0.96891067382717,0.00779800382502221,0.00751072233680514,0.000306871456276141,0.27660760486478,2.1416272376387,0.0137971504448342
889,0.961819323230416,0.00199922938305206,0.0171970627764918,0.000162542597861334,0.553041622121869,2.32524168294845,0.502258906167309
890,0.958843215882155,0.000198329290313965,0.073812999512673,7.51096991643591e-05,0.902439935421895,2.6398570741972,0.758615013616159
891,0.579838095528534,0.000104595632736057,0.59951761762399,6.71743012856958e-05,1.75308549388819,1.95456480004719,0.936711001284259
892,0.869661821990987,0.000908976033807987,0.0489527488728212,0.000107560954541621,0.996835947980832,2.12162990444887,0.0302082366434175
893,0.812318246091405,0.000104158033899196,0.496073633514055,8.25818255499945e-05,1.41112033570312,2.29759183086859,0.807103032569968
894,0.975679666427566,0.00353204733093056,0.00998166837365852,0.000220517899594686,0.361039766270522,2.33276775156493,0.844540429773037
895,0.753780284017026,0.000296986826870781,0.380939007046728,0.000116534842802949,1.37395866722877,2.06039272810421,0.118487711987139
896,0.997445998209771,0.0105201058775746,0.000909968804196489,0.000384883691119454,-0.246440240184055,2.55370236261155,0.59099392517552
897,0.945064641126449,0.0142132294516741,0.00904582691467067,0.000401349698573221,0.296287858769561,1.89506235545086,0.0202587859315259
898,0.765974666989073,0.000361121270300059,0.125315273983242,7.55737968923387e-05,1.32766954746886,2.05332394229854,0.568204784576379
899,0.997133589081013,0.00237198996800932,0.00222344658654663,0.000212882064642858,0.0306193772392765,2.79330349461246,0.249624250294837
900,0.933281887220549,0.00775765141858569,0.0140423809213568,0.000299928060221701,0.459716873523371,1.9604050772162,0.704630501382233
901,0.90658866238572,0.154111991915978,0.00534576025620021,0.00118908452415971,-0.150540619341094,1.16949634986424,0.866637513791311
902,0.938716841318379,0.00816763145994248,0.0133672575109305,0.000310570673709441,0.428623304637764,1.97271418693825,0.00613707292938677
903,0.960100868971402,0.0968830585601352,0.0033808735662608,0.000978773380104441,-0.226169750793649,1.52568805152108,0.444557784693138
904,0.943261866551752,0.000211623562102746,0.205452602074693,0.000172391503656613,0.971193925233385,2.55395353068502,0.396456209601098
905,0.919008002842397,0.00023091637785206,0.104249873134287,6.71983076796047e-05,1.05176969609228,2.45019964700505,0.844219035207632
906,0.800864758027174,0.142993440734405,0.00881441879005726,0.00115346620859581,0.111126289976132,0.955840391988515,0.548022047870003
907,0,0,0,0,0,0,0
908,0.78563721363584,0.000273545613819481,0.146930994668556,6.20325319114294e-05,1.33259926890192,2.12397361997799,0.650656556177912
909,0.873894413338228,0.00460159564106956,0.0295993124305491,0.000233591540894621,0.729708691257415,1.8747038246819,0.0247337802756967
910,0,0,0,0,0,0,0
911,0,0,0,0,0,0,0
912,0.943355339046344,0.0741823650841584,0.0048594316450124,0.000866743689588822,-0.0691241501420563,1.51445587747403,0.541488609719028
913,0.943767470110512,0.000974296181254652,0.0390636328718064,0.000128955053490402,0.755373784313371,2.34258392073548,0.393832219265285
914,0.998819279981487,0.000269242988012288,0.00298400611353767,9.46148632566211e-05,0.210145117434125,3.25069827356096,0.499826749428435
915,0.760963220530951,0.000652741541924643,0.141250428753549,0.000116058954817517,1.25268364628431,1.96208804489105,0.120443846293606
916,0,0,0,0,0,0,0
917,0.962498108183822,0.0624163888439172,0.00388454550044616,0.000805085189145096,-0.122820225070409,1.65762097849223,0.336925493280078
918,0,0,0,0,0,0,0
919,0,0,0,0,0,0,0
920,0.987976528687341,0.0333546797942268,0.00206259111672611,0.000618760945099272,-0.211375630869068,2.04500277833822,0.669764850614964
921,0.452711692217671,9.99999999999999e-05,2.21484507148099,9.99949998749947e-05,1.91891482142322,1.80010166403246,1
922,0,0,0,0,0,0,0
923,0.984992703425688,0.000110982787433886,0.0457376615143691,7.43867500481445e-05,0.761355386619276,2.93125313240148,0.28481477966784
924,0.86440723158658,0.0226954526572357,0.0141110161154036,0.000494751656659229,0.450338640709013,1.55067513539354,0.112134830812053
925,0.960173049282388,0.0544408148444492,0.00428074024030226,0.000755784246074311,-0.0747287687909139,1.67796898530431,0.502870324361743
926,0.836861635731333,0.0246424329864782,0.0148948206099019,0.00051374208257546,0.492238987787218,1.47388001359784,0.439219823922711
927,0.850013092708139,0.000620033363250998,0.0825064861930457,9.22133152188421e-05,1.09650546826785,2.13299501301096,0.47950835692732
928,0,0,0,0,0,0,0
929,0,0,0,0,0,0,0
930,0.927628034203592,0.00071159540511728,0.0532374270341848,0.000106441145795844,0.865777699097829,2.3241282920712,0.0551443084412794
931,0.863291884038241,0.000633526353946936,0.0860795411360281,9.79342551391462e-05,1.06405515851982,2.15928436814037,0.680904311598061
932,0.939353335064105,0.0139852894862577,0.0098660836387554,0.000397639857978947,0.324165487353337,1.87353328682244,0.015261762892095
933,0.675141372870331,0.0103123409195213,0.0288684719584001,0.000338258557794008,0.930315166708775,1.38447018753394,0.0131246750589692
934,0,0,0,0,0,0,0
935,0.818591888385855,0.000205588283752462,0.158262521983091,6.23161073791005e-05,1.31139623913302,2.22140815963831,0.536855205843028
936,0,0,0,0,0,0,0
937,0,0,0,0,0,0,0
938,0,0,0,0,0,0,0
939,0.541959633542052,0.000108737084012807,0.457089364486216,5.81707947896328e-05,1.79621520606032,1.90158708028352,0.993345623574226
940,0.943923017216073,0.00702638899403485,0.0129186008577109,0.000287669341566206,0.433662890041348,2.02224855992112,0.354668837536378
941,0.979917428098473,0.00438014707250425,0.00704096422587631,0.000238355923623972,0.28461157579217,2.33665807317095,0.0837749182922069
