,V1,V2,V3,V4,V5
1,0,0,0,0,0
2,0,3.613049125,2.679005939,0.035146038,0
3,0,0,1.401588925,2.649993662,1.166814763
4,0,0,0,1.399869437,2.717064957
5,0,0,0,0,1.572054942
,,,,,
,,,,,
,,,,,
,0,0,0,0,0
,0,3.61,2.68,0.04,0
,0,0,1.4,2.65,1.17
,0,0,0,1.4,2.72
,0,0,0,0,1.57
