,V1,V2,V3,V4,V5
1,0,0,0,0,0
2,0,3.557737864,2.915292995,0.234613358,0
3,0,0,1.420063044,2.743259835,1.057287691
4,0,0,0,1.375507149,2.956329167
5,0,0.044459233,0.036430928,0.002931843,1.361486874
,,,,,
,,,,,
,,,,,
,0,0,0,0,0
,0,3.56,2.92,0.23,0
,0,0,1.42,2.74,1.06
,0,0,0,1.38,2.96
,0,0.04,0.04,0,1.36
