,V1,V2,V3,V4,V5
1,0,0,0,0,0
2,0,4.592888497,0,3.652694175,0
3,0,0,4.843209043,0,3.900029278
4,0,0,0.116433478,3.991897246,0.115044837
5,0,0.856645796,0,0.797718276,3.89982957
,,,,,
,,,,,
,0,0,0,0,0
,0,4.59,0,3.65,0
,0,0,4.84,0,3.9
,0,0,0.12,3.99,0.12
,0,0.86,0,0.8,3.9
