,V1,V2,V3,V4,V5
1,0,0,0,0,0
2,0,2.889482888,1.858561352,0.456571231,0.477397794
3,0,0,2.043483494,1.650734484,0.239264311
4,0,0,0,1.840279802,1.438261626
5,0,0,0,0,1.827223222
,,,,,
,,,,,
,0,0,0,0,0
,0,2.89,1.86,0.46,0.48
,0,0,2.04,1.65,0.24
,0,0,0,1.84,1.44
,0,0,0,0,1.83
