,V1,V2,V3,V4,V5
1,0,0,0,0,0
2,0,3.037583524,1.913419837,0.775212348,1.399776958
3,0,0,2.261641146,1.599050716,0.20756575
4,0,0,0,2.233172939,1.547646554
5,0,0.062830003,0.03957757,0.016034652,2.262126214
,,,,,
,,,,,
,,,,,
,0,0,0,0,0
,0,3.04,1.91,0.78,1.4
,0,0,2.26,1.6,0.21
,0,0,0,2.23,1.55
,0,0.06,0.04,0.02,2.26
