,V1,V2,V3,V4,V5
1,0,0,0,0,0
2,0,2.594393062,1.862211008,0.697070139,0.519639437
3,0,0,1.90435941,1.603914901,0.504520155
4,0,0,0,1.679945963,1.43662316
5,0,0,0,0,1.615217972
,,,,,
,,,,,
,,,,,
,0,0,0,0,0
,0,2.59,1.86,0.7,0.52
,0,0,1.9,1.6,0.5
,0,0,0,1.68,1.44
,0,0,0,0,1.62
