,au,bp,se.au,se.bp,v,c,pchi
1,0.685055598181432,0.407934399325028,0.00876754608328413,0.00162155079628907,-0.12451083190204,0.357372533505244,0.354097416991792
2,0.734028105566809,0.49107976281078,0.00799896385534256,0.00165207034777261,-0.301339983434093,0.323701565664838,0.0754081973650044
3,0.693412853549543,0.519591567498343,0.00852965445102394,0.00165138158157923,-0.277338053479124,0.228209520721016,0.391358320814071
4,0.788045138211321,0.4445866359796,0.00714170809928191,0.00164121491258431,-0.330153157151595,0.469503548234391,0.247889459900386
5,0.75948579235774,0.469752372362306,0.00761838568775294,0.00164881617784646,-0.314378552174197,0.390270900161845,0.139865425329331
6,0.857450009057491,0.504029344655177,0.00552923039637673,0.00165674011499131,-0.539516486124239,0.529416245156843,0.29409408909962
7,0.913307172024723,0.548623432368657,0.00389286544457167,0.00165548980441111,-0.741794730661841,0.619610525603943,0.357170806414715
8,0.905340998052849,0.750783167960599,0.00437952440818905,0.00145648978122093,-0.994777816188776,0.317821488926016,0.297793995064078
9,0.965412920942358,0.179230064611774,0.00245386612457174,0.00126402077905816,-0.449488680482483,1.36779192485969,0.0513825630149202
10,0.805635172370786,0.400267948748708,0.00686993794771236,0.00161703450008938,-0.304634908708979,0.557288520424227,0.390238136752186
11,0.798378133513524,0.143389823250959,0.00884854558316914,0.00115174308065412,0.114685340478967,0.950527450753095,5.86217387720724e-11
12,0.979303808378232,0.527256278218898,0.00125800171490133,0.00167250649469265,-1.05397625740696,0.985601660921949,0.291662918669904
13,0.896620005484296,0.127435750695024,0.00614729509719569,0.00109497484176774,-0.0619641915791911,1.20056066170168,0.297805381603516
14,0.892066485732057,0.355774034273744,0.0048092252213308,0.00157913483034434,-0.433907584055296,0.803685369466516,0.131018723593789
15,0.984357927565503,0.309697720997908,0.00110777484197659,0.00153264187376909,-0.828366135918877,1.32507348105798,0.26674138209592
16,0.871136428859987,0.177495650657011,0.00638903105863043,0.00125509206081488,-0.103414166010237,1.0283653485039,0.00248079152256771
17,0.778851410008629,0.283074605648582,0.00785710332335634,0.00148306712614557,-0.0972939590206823,0.671025898649191,0.0672426815907467
18,0.978272429841525,0.392005755184379,0.00137039310646495,0.00162188730076224,-0.872606799850574,1.14670193753703,0.711065990067118
19,0.800827417582846,0.415717042087181,0.00694445848965057,0.00162691051919917,-0.315858859824267,0.528721524596101,0.0870988604989229
20,0.774369026796694,0.114166891009972,0.0102354802658085,0.00104519740035733,0.225674619310874,0.978987456637208,0.89782092402836
21,0.92034472376609,0.165555644201004,0.00474119866425194,0.00122118887930958,-0.21775810516985,1.18963601939194,0.0548786328922701
22,0.962011190026435,0.272953618293545,0.00234916001107361,0.00146963344031027,-0.585306484510736,1.1892108344694,0.323863779728412
23,0.822225115191251,0.183394016263807,0.00775274674317515,0.00127144171507538,-0.0106859691190797,0.913192163253174,0.314455485890663
24,0.978355073616951,0.500778396319677,0.00131376467497601,0.00167156229587026,-1.01142685618063,1.00947570471885,0.509335597662783
25,0.807490174848228,0.2682077681197,0.00739872695551118,0.00145774690682724,-0.125221093750557,0.743463536641893,0.267922086486392
26,0.867259634752099,0.320119377872722,0.00563141164809804,0.00153706205409739,-0.323082661645376,0.790447666291425,0.818761557166206
27,0.884072273616906,0.315901123739144,0.00516419232078284,0.00153158621598829,-0.35820060608854,0.837392321396553,0.9606197971638
28,0.884229346030996,0.309773856068858,0.00517580670893934,0.00152326557889782,-0.349953236746758,0.846444695337677,0.891746845642923
29,1,1,0,0,0,0,0
