"","id","pathway","protein","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"47","YKL181W","pentose","PRS1","pentose",0,7,"P32895","30min",0.835794563114514,0.332171453524128,2,2,-0.0517940730708953,-1.365174059488
"48","YKL181W","pentose","PRS1","pentose",0,7,"P32895","60min",0.804376876467721,0.637280313659631,3,3,-0.382532024308732,-0.0753384619985213
"49","YKL181W","pentose","PRS1","pentose",0,7,"P32895","90min",0.816433508183874,0.641712948781452,4,4,-0.255610341071545,-0.0565996729372411
"50","YKL181W","pentose","PRS1","pentose",0,7,"P32895","120min",0.746968158638107,0.664342907048256,5,5,-0.986880840044821,0.0390675775295641
"51","YMR105C","pentose","PGM2","pentose",0,18,"P37012","0min",1,1,1,1,-1.73342154266493,-1.0292544552173
"52","YMR105C","pentose","PGM2","pentose",0,18,"P37012","30min",1.74322279876724,25.9920766833995,2,2,0.32253199437506,1.6488216701603
"53","YMR105C","pentose","PGM2","pentose",0,18,"P37012","60min",1.73962014308912,10.6294865127721,3,3,0.312566082811974,0.00261249430394952
"54","YMR105C","pentose","PGM2","pentose",0,18,"P37012","90min",1.71361996284595,6.58872813814059,4,4,0.240642612994743,-0.430383077396907
"55","YMR105C","pentose","PGM2","pentose",0,18,"P37012","120min",1.9366779644189,8.81524092701289,5,5,0.857680852483152,-0.191796631850049
"56","YMR205C","pentose","PFK2","pentose",2,14,"P16862","0min",1,1,1,3,-1.42125270264533,-0.654375464698774
"57","YMR205C","pentose","PFK2","pentose",2,14,"P16862","30min",1.13359101467596,0.895025070927972,2,4,-0.129375868428955,-1.29474920636323
"58","YMR205C","pentose","PFK2","pentose",2,14,"P16862","60min",1.17134044189977,1.24833054890161,3,5,0.235675708233372,0.860503984856263
"59","YMR205C","pentose","PFK2","pentose",2,14,"P16862","90min",1.1402743408551,1.2834258975629,4,6,-0.0647455166998994,1.07459452948364
"60","YMR205C","pentose","PFK2","pentose",2,14,"P16862","120min",1.28964208291106,1.10956947206785,5,7,1.37969837954082,0.0140261567221004
"61","YNL241C","pentose","ZWF1","pentose",2,4,"P11412","0min",1,1,1,3,-1.25253997525392,-0.559385750841336
"62","YNL241C","pentose","ZWF1","pentose",2,4,"P11412","30min",1.20360767717523,1.38510946811092,2,4,-0.421532296687255,1.02800676074929
"63","YNL241C","pentose","ZWF1","pentose",2,4,"P11412","60min",1.2593650759863,1.4142135623731,3,5,-0.193963144130089,1.14797166713038
"64","YNL241C","pentose","ZWF1","pentose",2,4,"P11412","90min",1.65464263211785,0.926588061890371,4,6,1.41932908957916,-0.861984285715618
"65","YNL241C","pentose","ZWF1","pentose",2,4,"P11412","120min",1.41682744544421,0.952637998043937,5,7,0.448706326492109,-0.754608391322716
"66","YNR034W","pentose","SOL1","pentose",1,2,"P50278","0min",1,1,1,2,-1.26004465837185,-0.748208595642839
"67","YNR034W","pentose","SOL1","pentose",1,2,"P50278","30min",1.08404846553094,5.20536742176773,2,3,-0.826736398638134,1.74881017019461
"68","YNR034W","pentose","SOL1","pentose",1,2,"P50278","60min",1.3986738183645,2,3,4,0.795301115589099,-0.154439130241926
"69","YNR034W","pentose","SOL1","pentose",1,2,"P50278","90min",1.4399128680459,1.54756499354239,4,5,1.0079072677376,-0.42308122215492
"70","YNR034W","pentose","SOL1","pentose",1,2,"P50278","120min",1.29941425119827,1.54756499354239,5,6,0.283572673683275,-0.42308122215492
"71","YOL061W","pentose","PRS5","pentose",0,3,"Q12265","0min",1,1,1,1,1.60992068996542,1.36961174295741
"72","YOL061W","pentose","PRS5","pentose",0,3,"Q12265","30min",0.819954637175969,0.574349177498517,2,2,-0.0761355293038348,-1.43790692975538
"73","YOL061W","pentose","PRS5","pentose",0,3,"Q12265","60min",0.828875370004013,0.768437590644006,3,3,0.00740373451970457,-0.157733568734196
"74","YOL061W","pentose","PRS5","pentose",0,3,"Q12265","90min",0.780781988213151,0.817902058557781,4,4,-0.442972460691864,0.168525444434377
"75","YOL061W","pentose","PRS5","pentose",0,3,"Q12265","120min",0.710811818978953,0.801069877589622,5,5,-1.09821643448942,0.0575033110977913
