"","id","dtname","0min","30min","60min","90min","120min"
"1","YBL068W","prt",1,0.991485677998035,0.993518246014027,1.32152421729004,1.62463287025415
"2","YBL068W","trc",1,0.463294030945185,0.641712948781452,0.637280313659631,0.716977624007914
"3","YBR117C","prt",1,5.33500609032721,6.94318019063419,7.07008394185905,6.90678687682016
"4","YBR117C","trc",1,46.2057342567199,18.2522194538948,4.5315355411832,3.60500185044332
"5","YBR196C","prt",1,1.38294199162197,1.36141086727052,1.92479520016157,1.73178936637615
"6","YBR196C","trc",1,0.993092495437036,1.09429370126074,1.2834258975629,1.31950791077289
"7","YCR036W","prt",1,0.970672656207225,0.954266890205351,0.897769722531739,0.933407143751709
"8","YCR036W","trc",1,1.5691681957935,1.5691681957935,1.14869835499704,1.22264027769207
"9","YDR248C","prt",1,1.24425394483226,1.26808339248378,1.1615306629615,1.14442126073202
"10","YDR248C","trc",1,0.972654947412286,1.02101212570719,0.946057646725596,0.9138314502294
"11","YER099C","prt",1,1.10621053749713,1.17541815919226,1.03446324469363,1.14078531767486
"12","YER099C","trc",1,0.737134608645551,0.747424624317469,0.864537231307865,0.870550563296124
"13","YGR043C","prt",1,3.65020050701197,4.89637107549525,4.5131260466504,4.68949524092522
"14","YGR043C","trc",1,55.7152360509519,21.4068408765778,6.96440450636899,5.81589006928124
"15","YGR240C","prt",1,1.8444636279865,1.91557636585124,2.15962550932545,2.2932880977055
"16","YGR240C","trc",1,0.829319545814442,1.06437018245336,1.07177346253629,1.07922823650443
"17","YGR248W","prt",1,1.58807303817407,1.71795730882036,1.80047740298642,1.79508139480781
"18","YGR248W","trc",1,26.3549125525623,8.45614432449104,5.24157361543345,5.61777950295199
"19","YHR163W","prt",1,0.82551352031534,0.808399816303539,0.795486282606879,0.72617604771748
"20","YHR163W","trc",1,0.76312960448028,0.76312960448028,0.926588061890371,0.829319545814442
"21","YJL121C","prt",1,0.998215459955678,0.878785161606728,0.991188773988559,0.86359249388016
"22","YJL121C","trc",1,0.655196701929182,0.972654947412286,0.993092495437036,0.959264119325264
"23","YKL060C","prt",1,2.10778193258243,2.16894111870379,3.23583178928706,3.1029515702973
"24","YKL060C","trc",1,0.965936328924846,1.07922823650443,1.16473358646846,1.20580782769076
"25","YKL127W","prt",1,0.854962976684573,0.825589385246824,0.709710209786094,0.726849991401244
"26","YKL127W","trc",1,1.10190511587661,0.835087919428369,0.768437590644006,0.692554734055462
"27","YKL181W","prt",1,0.835794563114514,0.804376876467721,0.816433508183874,0.746968158638107
"28","YKL181W","trc",1,0.332171453524128,0.637280313659631,0.641712948781452,0.664342907048256
"29","YMR105C","prt",1,1.74322279876724,1.73962014308912,1.71361996284595,1.9366779644189
"30","YMR105C","trc",1,25.9920766833995,10.6294865127721,6.58872813814059,8.81524092701289
"31","YMR205C","prt",1,1.13359101467596,1.17134044189977,1.1402743408551,1.28964208291106
"32","YMR205C","trc",1,0.895025070927972,1.24833054890161,1.2834258975629,1.10956947206785
"33","YMR278W","prt",1,0.993701618537977,0.953714820090506,0.934003678500213,0.996306028338038
"34","YMR278W","trc",1,1.4742692172911,1.09429370126074,1.01395947979003,0.993092495437036
"35","YNL241C","prt",1,1.20360767717523,1.2593650759863,1.65464263211785,1.41682744544421
"36","YNL241C","trc",1,1.38510946811092,1.4142135623731,0.926588061890371,0.952637998043937
"37","YNR034W","prt",1,1.08404846553094,1.3986738183645,1.4399128680459,1.29941425119827
"38","YNR034W","trc",1,5.20536742176773,2,1.54756499354239,1.54756499354239
"39","YOL061W","prt",1,0.819954637175969,0.828875370004013,0.780781988213151,0.710811818978953
"40","YOL061W","trc",1,0.574349177498517,0.768437590644006,0.817902058557781,0.801069877589622
"41","YOR095C","prt",1,0.861591882089577,0.85334431995079,0.776282939678613,0.73277304749001
"42","YOR095C","trc",1,0.26061644021028,0.664342907048256,0.668963777393056,0.737134608645551
"43","YPR074C","prt",1,0.804608404634167,0.755568453666705,0.750197644869908,0.749976215869737
"44","YPR074C","trc",1,0.607097442197523,0.979420297586927,1.14869835499704,1.08673486252606
