,au,bp,se.au,se.bp,v,c,pchi
774,0.865646550965009,0.0472834222191749,0.0100469878018827,0.000701084070887599,0.282869532246403,1.38891486593162,0.00021849071371461
775,0.970262702436046,0.0178308143538857,0.00556942715378962,0.000455717004324312,0.108048041371102,1.99271663467312,0.064332861751761
776,0.958691365500974,0.00748808728033522,0.00983162516351678,0.000298500614604436,0.348628409605956,2.08432628712349,0.560064253287357
777,0.943153737072467,0.0540195579116211,0.00560278678005925,0.000750424176608815,0.012628834582528,1.5944406983868,0.0232126504045042
778,0.985718215219014,0.00138522317881416,0.0116692290108655,0.000161751944733816,0.401332499449683,2.5907904782596,0.121564888496583
779,0.983988367353687,0.0026745641431109,0.00682934592129729,0.000189336150329576,0.32055035682644,2.46467045235034,0.00708786306679058
780,0.974422034661977,0.0917246215529191,0.00243496122504442,0.000958993184166242,-0.309979936242297,1.64018947227922,0.11239560103379
781,0.971635615366611,0.141673095425797,0.0022307750234211,0.00115430687733989,-0.416281060496888,1.48911375022762,1.53108752674228e-05
782,0.999160175093032,0.00164095078262717,0.000797392010409517,0.00018745315420351,-0.100843986659059,3.04086484159574,0.0787596081134846
783,0.833751262067621,0.02154084567395,0.0160386111032926,0.000481664815590823,0.526910751787659,1.49600638581095,0.334226191863416
784,0.992865669093525,0.0142050101341565,0.00199421189005086,0.000432510019542665,-0.129425041924928,2.32100264981439,0.29356642922506
785,0.977040259209347,0.018272242527525,0.0044725260238437,0.000463400220395701,0.0473420797916652,2.04347477012659,0.0366530067552026
786,0.978125267382303,0.0217805368584769,0.00391060309630753,0.000500774749008696,0.000903332281964855,2.01738660871495,0.607255469837224
787,0.977910806405997,9.99999999999997e-05,0.0935483212851548,9.99949998749929e-05,0.853311084695333,2.86570540076035,1
788,0.877040423835606,0.0921696406016066,0.00760935699054395,0.000952693498775616,0.0835968855506502,1.24391539231652,0.134936574226591
789,0.971664803406741,0.0382180610502626,0.00373273144466366,0.000645024307811581,-0.0670473822602813,1.83879704299441,0.382083214021855
790,0.938374739104856,0.000872739908807621,0.0456106674886466,0.000123694838207729,0.794581035895188,2.33585335958323,0.00213992694754284
791,0.571394163072412,0.000157472621769611,0.344918479694595,6.34523613367192e-05,1.7113809097583,1.89130562247679,0.828791093781487
792,0.961898897966913,0.279637700538242,0.0022928268990295,0.00148595396661936,-0.59462092160472,1.17853904230649,0.000796213222825536
793,0.999998755917968,9.58857426129527e-05,6.8659585306377e-06,5.72575956227599e-05,-0.48974038822141,4.21935680873459,0.989942811351988
794,0.734656259379384,0.241050715485076,0.00876550100964872,0.00141215883458373,0.0379848950318162,0.664941804765181,0.00368326634899729
795,0.992418830448181,0.00267942423361491,0.00363172442976684,0.000199252086526619,0.178076988315868,2.6065551288188,2.94267414807655e-07
796,0.387672464526856,0.000105575273008288,0.592014591455919,8.91854095343528e-05,1.99533936401965,1.70994879105606,1
797,0.82183929684133,0.000211920892519184,0.378158253170455,0.000134637711470812,1.30118914080407,2.22358638574109,0.849282065770397
798,0.999649925223015,0.000123461394328485,0.00147245067797502,7.1495114494118e-05,0.137955003235,3.52747557466691,0.706604194814353
799,0.864335351378689,0.392890646114339,0.00541810059023891,0.0016171270185793,-0.414106809340972,0.685899673633521,0.0804092048703015
800,0.966606507598426,0.0137294952705536,0.00657182351510481,0.000399681782545304,0.185912708113296,2.01901752585778,0.470081549373616
801,0.860548317391258,0.00555385283182539,0.0265902507218502,0.000252184675357139,0.728252962020935,1.81103908780058,0.0927675472890593
802,0.962267510981425,0.0269852582186758,0.00530595678183708,0.000545615817670637,0.0747225851131989,1.8523505481232,0.711899471014269
803,0.941345529506897,0.000855680395304273,0.0336055838306948,0.000110568124798125,0.785029269022396,2.35119876900175,0.450285138438127
804,0.867350850756932,0.00356559207030714,0.0311814923932987,0.000203363725628837,0.788349909328878,1.90230536110666,0.716299774976608
805,0.928538346857574,0.0479726245160986,0.00672204109929688,0.000708108688155344,0.0999229547386891,1.5649142001697,0.243812743866971
806,0.965919840159739,0.0547627645634383,0.00380862591921132,0.000759668989305793,-0.111808027116636,1.71213742206948,0.247979121075054
807,0.987872421708906,0.00455317939700695,0.00453957018516039,0.000244525036696864,0.1774859412848,2.43054926475709,0.34831021540829
808,0.930654390680595,0.00817537374460484,0.0145534530804506,0.000309976938128852,0.460154186959073,1.94083661498084,0.060143108601602
809,0.989119952577805,0.142785165881838,0.00105403542530117,0.00116597673132845,-0.613320036699248,1.68120959804047,0.203277021146553
810,0.97406618353386,0.0391517339514408,0.00342823741834339,0.00065272255441305,-0.0918075131037191,1.85242322260406,0.385704947994167
811,0.989608579832976,0.00345939392531964,0.00498579655549749,0.000224392688065631,0.194410827942202,2.50631725752668,0.332276343969469
812,0.980045626186817,0.000240333520264238,0.0501379102236054,0.000109333938340262,0.718306462947164,2.77299862346898,0.295725684029564
813,0.949455770171672,0.0894917473082689,0.00411379246425308,0.000943558824651114,-0.147854048207331,1.49174548774551,0.0321181424672106
814,0.886485823088578,0.0044114261779308,0.0259869332108841,0.000226553480336095,0.705396958542465,1.9134461178341,0.449875742595444
815,0.974532836064935,0.000400944443819791,0.025166627714308,8.10680142931041e-05,0.700054653227463,2.65208730732736,0.43356870537607
816,0.882955594223659,0.306482413506122,0.00517444947504431,0.00152290519952385,-0.342023085680401,0.847868994832812,0.00308812252353232
817,0.697758024417068,0.000173848615922931,2.07630473349118,0.000579762203549121,1.5294668531059,2.04743004464413,1
818,0.873333179087121,0.0329404374866223,0.0114963885030389,0.000590723270096345,0.348471837685892,1.49076148799069,0.904496711507402
819,0.937576276837644,0.00227213492211921,0.0245728526048647,0.000174239023972813,0.651469533168409,2.18621059065764,0.130588973228723
820,0.876775364358318,0.197810514275614,0.00605522920661758,0.00131253865548918,-0.154774570288147,1.00424239137382,2.02155464912487e-05
821,0.972737650825962,6.58896370570384e-05,0.148138929373632,7.963095360706e-05,0.950232399385199,2.87287700268552,0.791890472462859
822,0.925089984930605,0.00067094873818774,0.06493163332172,0.000118191654214578,0.883348995068131,2.32351644400392,0.295543209707764
823,0,0,0,0,0,0,0
824,0.96206926397475,0.0036778485592752,0.0119744187568043,0.000214229721665796,0.452537964362329,2.22775854959442,0.0687394328917234
825,0,0,0,0,0,0,0
826,0.781779559526099,0.000340908206964571,0.214104667888575,0.000101872648922507,1.30928557017836,2.08750293583228,0.557755701687158
