"","0min","30min","60min","90min","120min"
"0min",1,NA,NA,NA,NA
"30min",NA,1,0.695012203942078,0.676756147056315,0.70330107337676
"60min",NA,0.695012203942078,1,0.971614519028976,0.925368033842935
"90min",NA,0.676756147056315,0.971614519028976,1,0.97266713268721
"120min",NA,0.70330107337676,0.925368033842935,0.97266713268721,1
