"","0min","30min","60min","90min","120min"
"0min",1,NA,NA,NA,NA
"30min",NA,1,0.956503345443345,0.916169089742835,0.863284136905112
"60min",NA,0.956503345443345,1,0.902057774050344,0.865468658827731
"90min",NA,0.916169089742835,0.902057774050344,1,0.950249785896819
"120min",NA,0.863284136905112,0.865468658827731,0.950249785896819,1
