,0min,30min,60min,90min,120min
0min,1.00 ,-0.48 ,-0.26 ,-0.08 ,-0.21 
30min,-0.48 ,1.00 ,-0.24 ,-0.53 ,-0.40 
60min,-0.26 ,-0.24 ,1.00 ,-0.04 ,-0.14 
90min,-0.08 ,-0.53 ,-0.04 ,1.00 ,0.22 
120min,-0.21 ,-0.40 ,-0.14 ,0.22 ,1.00 
