"","id","pathway","protein","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"39","YER026C","GlySerThrMetabo","CHO1","GlySerThrMetabo",0,14,"P08456","90min",1.42919957894005,1.24833054890161,4,4,0.633327689694055,-0.211773371966622
"40","YER026C","GlySerThrMetabo","CHO1","GlySerThrMetabo",0,14,"P08456","120min",1.38699832749888,1.33792755478611,5,5,0.396280300794823,0.196363871838478
"41","YER052C","GlySerThrMetabo","HOM3","GlySerThrMetabo",0,1,"P10869","0min",1,1,1,1,1.55037624265447,-0.489728220703736
"42","YER052C","GlySerThrMetabo","HOM3","GlySerThrMetabo",0,1,"P10869","30min",0.845396080062483,0.489710148793463,2,2,0.0704600765773478,-1.52922412579975
"43","YER052C","GlySerThrMetabo","HOM3","GlySerThrMetabo",0,1,"P10869","60min",0.849589038176243,1.65863909162888,3,3,0.11059635836597,0.851965401196795
"44","YER052C","GlySerThrMetabo","HOM3","GlySerThrMetabo",0,1,"P10869","90min",0.768516297612525,1.48452357062905,4,4,-0.665456793694554,0.497279979440815
"45","YER052C","GlySerThrMetabo","HOM3","GlySerThrMetabo",0,1,"P10869","120min",0.726674859039549,1.5691681957935,5,5,-1.06597588390323,0.669706965865875
"46","YER086W","GlySerThrMetabo","ILV1","GlySerThrMetabo",0,25,"P00927","0min",1,1,1,1,1.68523464591084,0.396073790571162
"47","YER086W","GlySerThrMetabo","ILV1","GlySerThrMetabo",0,25,"P00927","30min",0.763949591695977,0.3789291416276,2,2,-0.477234511535229,-1.72217371173283
"48","YER086W","GlySerThrMetabo","ILV1","GlySerThrMetabo",0,25,"P00927","60min",0.802955774642683,0.895025070927972,3,3,-0.119896991223422,0.0380423706232149
"49","YER086W","GlySerThrMetabo","ILV1","GlySerThrMetabo",0,25,"P00927","90min",0.800717894430897,1.11728713807222,4,4,-0.140398319608386,0.796097691104737
"50","YER086W","GlySerThrMetabo","ILV1","GlySerThrMetabo",0,25,"P00927","120min",0.712594080399019,1.02811382665607,5,5,-0.947704823543807,0.491959859433714
"51","YFL018C","GlySerThrMetabo","LPD1","GlySerThrMetabo",0,9,"P09624","0min",1,1,1,1,-1.67208787948259,-1.39785013694942
"52","YFL018C","GlySerThrMetabo","LPD1","GlySerThrMetabo",0,9,"P09624","30min",2.10553652159706,1.10956947206785,2,2,0.136891827362062,-0.556285666133473
"53","YFL018C","GlySerThrMetabo","LPD1","GlySerThrMetabo",0,9,"P09624","60min",2.02058376374252,1.19747870461893,3,3,-0.00211562467339388,0.118914144319928
"54","YFL018C","GlySerThrMetabo","LPD1","GlySerThrMetabo",0,9,"P09624","90min",2.46529347666239,1.31950791077289,4,4,0.725558975299678,1.05617743821864
"55","YFL018C","GlySerThrMetabo","LPD1","GlySerThrMetabo",0,9,"P09624","120min",2.51796975151505,1.2834258975629,5,5,0.811752701494245,0.779044220544317
"56","YGR155W","GlySerThrMetabo","CYS4","GlySerThrMetabo",0,13,"P32582","0min",1,1,1,1,1.75695403754603,0.325827473450858
"57","YGR155W","GlySerThrMetabo","CYS4","GlySerThrMetabo",0,13,"P32582","30min",0.793891241413967,0.659753955386447,2,2,-0.236304172340399,-1.78254479673549
"58","YGR155W","GlySerThrMetabo","CYS4","GlySerThrMetabo",0,13,"P32582","60min",0.790585078441923,1.01395947979003,3,3,-0.268277760131908,0.412328934853451
"59","YGR155W","GlySerThrMetabo","CYS4","GlySerThrMetabo",0,13,"P32582","90min",0.755981340659243,1.03526492384138,4,4,-0.602927218511392,0.544350476772885
"60","YGR155W","GlySerThrMetabo","CYS4","GlySerThrMetabo",0,13,"P32582","120min",0.751171277032393,1.02811382665607,5,5,-0.649444886562326,0.500037911658302
"61","YGR205W","GlySerThrMetabo","TDA10","GlySerThrMetabo",1,17,"P42938","0min",1,1,1,2,-0.449062061932085,-1.50397857997567
"62","YGR205W","GlySerThrMetabo","TDA10","GlySerThrMetabo",1,17,"P42938","30min",0.858360404298767,1.91852823865053,2,3,-1.48651940607565,1.24332012264204
