"","id","dtname","T1-T1","T2-T1","T3-T1","T4-T1","T5-T1"
"1","15S_rRNA","trc",1,0.846745312362527,0.659753955386447,1.06437018245336,0.90125046261083
"2","21S_rRNA","trc",1,0.840896415253715,0.566441942647899,0.895025070927972,0.726986258660155
"3","ETS1-1","trc",1,0.870550563296124,0.895025070927972,1.06437018245336,0.882702996290655
"4","ETS1-2","trc",1,0.784584097896751,1.00695555005672,0.993092495437036,1.1328838852958
"5","ETS2-1","trc",1,1.02101212570719,1.05701804056138,1.70526978353591,1.4142135623731
"6","ETS2-2","trc",1,1.23970769993899,1.15668818390529,2.08493152168224,1.04246576084112
"7","HRA1","trc",1,0.959264119325264,0.959264119325264,1.04246576084112,0.972654947412286
"8","ICR1","trc",1,1.10956947206785,1.10956947206785,1.02811382665607,1.16473358646846
"9","ITS1-1","trc",1,1.02811382665607,0.972654947412286,1.09429370126074,0.926588061890371
"10","ITS1-2","trc",1,0.876605721316035,1.07922823650443,1.15668818390529,0.946057646725596
"11","ITS2-1","trc",1,1,1.02101212570719,1.15668818390529,1.05701804056138
"12","ITS2-2","trc",1,1,1.07177346253629,1.20580782769076,1.25701337452183
"13","LSR1","trc",1,0.979420297586927,0.972654947412286,1.09429370126074,1.04246576084112
"14","NME1","trc",1,0.979420297586927,0.852634891767957,1.2834258975629,1.02101212570719
"15","NTS1-2","trc",1,1.02101212570719,1.5691681957935,1.61328351844425,1.45397251732031
"16","NTS2-1","trc",1,0.864537231307865,1.02101212570719,1.1328838852958,1.23970769993899
"17","NTS2-2","trc",1,0.835087919428369,0.946057646725596,1.09429370126074,1.1328838852958
"18","PWR1","trc",1,0.965936328924846,0.993092495437036,0.972654947412286,1.01395947979003
"19","Q0010","trc",1,0.864537231307865,0.907519155317161,0.895025070927972,0.926588061890371
"20","Q0017","trc",1,1.07922823650443,1.12505848468881,0.965936328924846,0.952637998043937
"21","Q0032","trc",1,0.972654947412286,0.946057646725596,0.952637998043937,0.952637998043937
"22","Q0045","trc",1,0.784584097896751,0.517632461920689,0.742261785314525,0.88884268116657
"23","Q0050","trc",1,0.852634891767957,0.482968164462423,0.7791645796605,0.60290391384538
"24","Q0055","trc",1,0.835087919428369,0.646176415318746,0.812252396356236,0.692554734055462
"25","Q0060","trc",1,0.817902058557781,0.784584097896751,0.90125046261083,0.858565436437754
"26","Q0065","trc",1,0.870550563296124,0.550952557938305,0.76312960448028,0.707106781186548
"27","Q0070","trc",1,0.882702996290655,0.624165274450806,0.829319545814442,0.876605721316035
"28","Q0075","prt",1,0.781633209518177,0.790487117274311,0.837056218702458,0.811655296742794
"29","Q0075","trc",1,0.732042847972813,0.668963777393056,0.907519155317161,0.655196701929182
"30","Q0085","trc",1,0.7791645796605,0.524858341811534,0.852634891767957,0.88884268116657
"31","Q0105","trc",1,0.773782496771195,0.466516495768404,0.732042847972813,0.574349177498517
"32","Q0110","trc",1,0.673616788432845,0.732042847972813,0.840896415253715,0.678302163723836
"33","Q0115","trc",1,0.795536483754919,0.692554734055462,0.7791645796605,0.611320138846034
"34","Q0120","trc",1,0.773782496771195,0.524858341811534,0.678302163723836,0.53218509122668
"35","Q0130","trc",1,0.829319545814442,1.15668818390529,1.10956947206785,1.08673486252606
"36","Q0140","trc",1,0.895025070927972,0.926588061890371,0.972654947412286,0.959264119325264
"37","Q0142","trc",1,1,1.15668818390529,1.02101212570719,1.03526492384138
"38","Q0144","trc",1,1.06437018245336,1.14076371586842,1.08673486252606,1.03526492384138
"39","Q0160","trc",1,0.578344091952644,0.566441942647899,0.846745312362527,0.615572206672458
"40","Q0182","trc",1,0.946057646725596,0.946057646725596,0.939522749214012,0.946057646725596
"41","Q0250","prt",1,1.09596277107127,1.01331296428964,1.24973191692038,1.38752608415888
"42","Q0250","trc",1,0.835087919428369,0.920187650624875,1.3660402567544,1.2834258975629
"43","Q0255","trc",1,0.858565436437754,0.852634891767957,0.965936328924846,0.9138314502294
"44","Q0275","trc",1,0.864537231307865,0.702222437868999,0.817902058557781,0.678302163723836
"45","Q0297","trc",1,1.14076371586842,1,1.54756499354239,0.7791645796605
"46","R0020C","prt",1,0.910242881931377,0.830292923207782,0.814046698816302,0.898138171843399
"47","R0030W","prt",1,0.848113973501023,0.821878658264592,0.802896984446047,0.805848733020722
"48","R0040C","prt",1,0.732609403920805,0.776990547119797,0.906013668093494,0.750439807727614
"49","RDN18-1","trc",1,1.00695555005672,1.04246576084112,1.02811382665607,1.06437018245336
"50","RDN18-2","trc",1,1.07922823650443,1.03526492384138,1.1328838852958,1.11728713807222
"51","RDN25-1","trc",1,1.09429370126074,1.06437018245336,1.12505848468881,1.09429370126074
"52","RDN25-2","trc",1,1.01395947979003,1,1.07922823650443,1
"53","RDN37-1","trc",1,1.06437018245336,1.02101212570719,1.07922823650443,1.08673486252606
"54","RDN37-2","trc",1,1.01395947979003,0.986232704493359,1.07922823650443,1.02811382665607
"55","RDN5-4","trc",1,1.39474366635041,1.20580782769076,1.74110112659225,1.23114441334492
"56","RDN58-1","trc",1,0.870550563296124,1,0.986232704493359,1.02101212570719
"57","RNA170","trc",1,0.768437590644006,1.35660432744767,1.09429370126074,0.993092495437036
"58","RPM1","trc",1,0.852634891767957,0.920187650624875,1.11728713807222,0.9138314502294
"59","RPR1","trc",1,1.16473358646846,1.02101212570719,1.1328838852958,1.14076371586842
"60","RUF20","trc",1,0.732042847972813,0.707106781186548,0.907519155317161,0.9138314502294
"61","RUF21","trc",1,1.02101212570719,0.979420297586927,1.04246576084112,0.972654947412286
"62","RUF22","trc",1,1.02101212570719,1.08673486252606,1.01395947979003,0.993092495437036
"63","RUF23","trc",1,1,1.00695555005672,1.10190511587661,1.19747870461893
"64","RUF5-1","trc",1,1.05701804056138,0.946057646725596,0.9138314502294,0.9138314502294
"65","RUF5-2","trc",1,1.07922823650443,0.986232704493359,1.00695555005672,1.03526492384138
"66","SCR1","trc",1,1.11728713807222,0.993092495437036,1.19747870461893,1.05701804056138
"67","snR10","trc",1,1.16473358646846,1.22264027769207,1.27456062731926,1.29235283063749
"68","snR11","trc",1,1.18920711500272,1.04246576084112,1.46408569594563,1.07177346253629
"69","snR14","trc",1,1.02101212570719,1.24833054890161,1.63580411711556,1.64718203453515
"70","snR17a","trc",1,0.979420297586927,0.965936328924846,1.42405019559707,0.979420297586927
"71","snR17b","trc",1,1.02811382665607,0.972654947412286,1.07922823650443,0.858565436437754
"72","snR189","trc",1,1.09429370126074,1.18099266142953,1.18920711500272,1.18920711500272
"73","snR19","trc",1,1.14869835499704,0.846745312362527,1.22264027769207,0.952637998043937
"74","snR190","trc",1,0.673616788432845,1.11728713807222,1.04971668362307,1.05701804056138
"75","snR191","trc",1,1.11728713807222,0.846745312362527,1.3660402567544,0.673616788432845
"76","snR3","trc",1,0.972654947412286,1.17283494923188,1.42405019559707,1.15668818390529
"77","snR30","trc",1,1.02811382665607,1.04246576084112,1.2834258975629,1.01395947979003
"78","snR31","trc",1,1.00695555005672,0.655196701929182,1.64718203453515,0.590496330714765
"79","snR32","trc",1,1.18920711500272,1.11728713807222,1.43395524801583,1.01395947979003
"80","snR33","trc",1,1.5157165665104,1.42405019559707,1.85317612378074,1.05701804056138
"81","snR34","trc",1,0.965936328924846,1.30134185544193,1.87904549842802,1.35660432744767
"82","snR35","trc",1,1.38510946811092,1.97246540898672,2.21913894413569,1.09429370126074
"83","snR36","trc",1,0.840896415253715,0.876605721316035,1.86606598307361,0.90125046261083
"84","snR37","trc",1,0.926588061890371,0.812252396356236,1.16473358646846,0.876605721316035
"85","snR4","trc",1,1.39474366635041,1.00695555005672,1.61328351844425,1.25701337452183
"86","snR42","trc",1,0.965936328924846,1.19747870461893,1.60213975517924,0.939522749214012
"87","snR43","trc",1,0.986232704493359,1.25701337452183,1.46408569594563,1.30134185544193
"88","snR44","trc",1,0.570381857934212,0.7791645796605,0.539614118252214,0.858565436437754
"89","snR45","trc",1,1.02101212570719,1.11728713807222,1.27456062731926,1.31950791077289
"90","snR46","trc",1,1.45397251732031,1.16473358646846,1.46408569594563,1.32868581409651
"91","snR49","trc",1,0.817902058557781,0.650670927720967,1.62450479271247,0.673616788432845
"92","snR5","trc",1,0.641712948781452,0.707106781186548,1.62450479271247,1.1328838852958
"93","snR63","trc",1,1.17283494923188,1.34723357686569,1.71713087287551,1.53687518128801
"94","snR7-L","trc",1,1.33792755478611,1.42405019559707,1.52625920896056,1.37554181813974
"95","snR7-S","trc",1,1.05701804056138,0.965936328924846,1.08673486252606,1.23114441334492
"96","snR8","trc",1,1.14869835499704,0.926588061890371,1.05701804056138,0.946057646725596
"97","snR80","trc",1,0.806641759222126,0.933032991536807,1.50524674741107,1.11728713807222
"98","snR81","trc",1,1.05701804056138,0.747424624317469,1.27456062731926,0.817902058557781
"99","snR82","trc",1,1.16473358646846,0.965936328924846,1.3660402567544,0.979420297586927
"100","snR83","trc",1,1.31950791077289,0.570381857934212,1.27456062731926,0.60290391384538
"101","snR84","trc",1,0.90125046261083,0.864537231307865,1.12505848468881,0.637280313659631
"102","snR85","trc",1,1.02101212570719,0.882702996290655,1.39474366635041,1.14869835499704
"103","snR86","trc",1,1.18920711500272,0.840896415253715,1.10190511587661,0.88884268116657
"104","snR9","trc",1,1.45397251732031,1.59107296750984,1.35660432744767,1.04246576084112
"105","SRG1","trc",1,1.10956947206785,0.619853849969493,0.790041311863377,0.716977624007914
"106","TLC1","trc",1,0.752623373705534,0.747424624317469,0.829319545814442,0.840896415253715
"107","YAL001C","trc",1,1.24833054890161,1.17283494923188,1.10190511587661,1.06437018245336
"108","YAL002W","trc",1,1.67017583885674,1.11728713807222,0.946057646725596,1.14869835499704
"109","YAL003W","prt",1,0.564571050207223,0.695423236777716,0.673379455975116,0.547461784424866
"110","YAL003W","trc",1,0.570381857934212,0.7791645796605,0.801069877589622,0.939522749214012
"111","YAL004W","trc",1,1.07922823650443,1,1.11728713807222,0.979420297586927
"112","YAL005C","prt",1,1.15906156666682,1.31319140824304,1.36937502732163,1.55033680632217
"113","YAL005C","trc",1,1.23114441334492,1.23114441334492,1.16473358646846,0.817902058557781
"114","YAL007C","prt",1,0.883693710372273,0.824792932110494,0.852883241926044,0.84869154738697
"115","YAL007C","trc",1,0.615572206672458,0.742261785314525,0.926588061890371,0.870550563296124
"116","YAL008W","trc",1,1.94530989482457,1.5691681957935,1.35660432744767,1.5157165665104
"117","YAL009W","trc",1,1.18099266142953,1.19747870461893,1.27456062731926,1.32868581409651
"118","YAL010C","prt",1,0.834897040198291,0.598569983538269,0.95896491738295,0.690891675907504
"119","YAL010C","trc",1,1.25701337452183,1,0.986232704493359,0.979420297586927
"120","YAL011W","trc",1,0.747424624317469,0.933032991536807,0.840896415253715,0.806641759222126
"121","YAL012W","prt",1,0.795309601882339,0.796374361085219,0.726116497679892,0.682836900115653
"122","YAL012W","trc",1,0.692554734055462,1.01395947979003,1.00695555005672,0.76312960448028
"123","YAL013W","trc",1,0.926588061890371,1,0.801069877589622,0.90125046261083
"124","YAL014C","trc",1,1.23970769993899,0.858565436437754,0.852634891767957,0.986232704493359
"125","YAL015C","trc",1,1.39474366635041,1.02101212570719,0.993092495437036,0.946057646725596
"126","YAL016C-A","trc",1,1.02811382665607,0.939522749214012,0.965936328924846,1.01395947979003
"127","YAL016C-B","trc",1,1.04246576084112,0.979420297586927,1.08673486252606,1.04246576084112
"128","YAL016W","prt",1,1.09733387942477,1.02249691331055,0.926734302334958,1.02246602259838
"129","YAL016W","trc",1,1.54756499354239,1.39474366635041,1.14869835499704,1.1328838852958
"130","YAL017W","prt",1,1.140777879282,1.50338542458714,1.62356539434378,1.4608870358363
"131","YAL017W","trc",1,2.09943336724613,1.34723357686569,1.22264027769207,1.34723357686569
"132","YAL018C","trc",1,0.993092495437036,1.02811382665607,0.993092495437036,1
"133","YAL019W","prt",1,0.930340131010109,0.888161581959263,0.81254387467901,0.734166058841527
"134","YAL019W","trc",1,0.53218509122668,0.876605721316035,0.801069877589622,0.773782496771195
"135","YAL019W-A","prt",1,0.907858181058825,0.857635246494438,0.890168812955716,0.883320119845026
"136","YAL019W-A","trc",1,1.02811382665607,0.939522749214012,0.959264119325264,0.965936328924846
"137","YAL020C","trc",1,1.16473358646846,1.06437018245336,0.979420297586927,0.876605721316035
"138","YAL021C","prt",1,1.03497413152987,0.806449016183624,0.850584423103633,0.838748125976033
"139","YAL021C","trc",1,0.846745312362527,1.04971668362307,0.952637998043937,0.972654947412286
"140","YAL022C","trc",1,0.687770909069872,0.972654947412286,0.876605721316035,1.04971668362307
"141","YAL023C","prt",1,1.58158226425896,1.44623507906757,1.68464770698406,1.41816247826811
"142","YAL023C","trc",1,0.496546247718518,0.858565436437754,1.02811382665607,1.04246576084112
"143","YAL024C","trc",1,0.773782496771195,0.952637998043937,1.01395947979003,0.952637998043937
"144","YAL025C","prt",1,0.874412586643679,0.831823318079956,0.731545265887552,0.693573030140416
"145","YAL025C","trc",1,0.1894645708138,0.466516495768404,0.586417474615939,0.45375957765858
"146","YAL026C","trc",1,0.773782496771195,0.907519155317161,0.9138314502294,0.926588061890371
"147","YAL026C-A","trc",1,0.864537231307865,0.76312960448028,0.939522749214012,0.864537231307865
"148","YAL027W","trc",1,1.1328838852958,0.979420297586927,0.88884268116657,0.939522749214012
"149","YAL028W","trc",1,2.63901582154579,1.25701337452183,1.10956947206785,1.24833054890161
"150","YAL029C","prt",1,1.14071235441057,1.1440722392927,1.11289272209371,1.12243620966516
"151","YAL029C","trc",1,0.742261785314525,0.864537231307865,0.90125046261083,0.90125046261083
"152","YAL030W","trc",1,1.1328838852958,1.8276629004588,1.23114441334492,1.32868581409651
"153","YAL031C","trc",1,1.68179283050743,1.23970769993899,1.23114441334492,1.22264027769207
"154","YAL031W-A","trc",1,1.06437018245336,1.08673486252606,1.05701804056138,1.10190511587661
"155","YAL032C","prt",1,1.52338148016454,2.12851593676266,2.33322577222684,2.24735799767311
"156","YAL032C","trc",1,1.26575659397028,1.24833054890161,1.03526492384138,1.11728713807222
"157","YAL033W","trc",1,0.683020128377198,0.979420297586927,0.972654947412286,1.08673486252606
"158","YAL034C","trc",1,4.59479341998814,1.404444875738,1.30134185544193,1.42405019559707
"159","YAL034C-B","trc",1,0.933032991536807,0.979420297586927,1.00695555005672,0.939522749214012
"160","YAL034W-A","trc",1,0.790041311863377,0.959264119325264,0.965936328924846,0.90125046261083
"161","YAL035W","prt",1,0.869583572827364,0.834909426346018,0.789101132296571,0.768571527273939
"162","YAL035W","trc",1,0.486327473706143,0.829319545814442,0.840896415253715,0.702222437868999
"163","YAL036C","prt",1,0.874481398288064,0.856932728205969,0.742161451869961,0.700043489530351
"164","YAL036C","trc",1,0.3789291416276,0.646176415318746,0.737134608645551,0.678302163723836
"165","YAL037C-B","trc",1,1.07922823650443,0.972654947412286,1.15668818390529,1.04971668362307
"166","YAL037W","trc",1,0.965936328924846,0.993092495437036,0.946057646725596,0.895025070927972
"167","YAL038W","prt",1,1.79176551506421,1.72625343590326,2.31799242701047,2.24922540449602
"168","YAL038W","trc",1,0.979420297586927,1.00695555005672,1.04971668362307,1.15668818390529
"169","YAL039C","trc",1,0.870550563296124,1,0.858565436437754,0.882702996290655
"170","YAL040C","trc",1,1.23970769993899,0.933032991536807,0.986232704493359,1.2834258975629
"171","YAL041W","trc",1,1.22264027769207,1.05701804056138,0.979420297586927,0.9138314502294
"172","YAL042C-A","trc",1,1.08673486252606,1.08673486252606,1.01395947979003,1.02101212570719
"173","YAL042W","prt",1,0.941020662858687,0.876160915322038,0.785957931922595,0.770485255617875
"174","YAL042W","trc",1,0.946057646725596,1.15668818390529,1.05701804056138,0.986232704493359
"175","YAL043C","trc",1,1.80250092522166,1.26575659397028,1.16473358646846,1.08673486252606
"176","YAL044C","prt",1,2.05958155363229,2.21899778586166,2.23856986350577,2.31481831986602
"177","YAL044C","trc",1,0.624165274450806,0.852634891767957,0.952637998043937,0.882702996290655
"178","YAL044W-A","prt",1,0.9813119711617,0.889032282995532,0.931682556047016,0.917974174007041
"179","YAL044W-A","trc",1,0.773782496771195,1.31039340385836,1.22264027769207,1.18099266142953
"180","YAL045C","trc",1,1.07922823650443,1.02101212570719,1.01395947979003,0.979420297586927
"181","YAL046C","prt",1,1.37640315486071,1.24766501096186,1.58849887906034,1.40729991155675
"182","YAL046C","trc",1,0.707106781186548,1.15668818390529,1.16473358646846,1.25701337452183
"183","YAL047C","trc",1,0.870550563296124,0.993092495437036,0.972654947412286,0.9138314502294
"184","YAL047W-A","trc",1,1.04246576084112,1.04971668362307,1.02101212570719,0.986232704493359
"185","YAL048C","trc",1,1.18099266142953,1.05701804056138,0.946057646725596,1.03526492384138
"186","YAL049C","prt",1,1.16052233375711,1.3015970460883,1.11962268253032,1.26156219769813
"187","YAL049C","trc",1,1.14076371586842,1.32868581409651,1.23114441334492,1.18920711500272
"188","YAL051W","trc",1,1.20580782769076,1.10190511587661,0.959264119325264,0.979420297586927
"189","YAL053W","prt",1,1.24516845736515,0.861260288933319,1.01349790808038,1.0642882995691
"190","YAL053W","trc",1,1.1328838852958,1.45397251732031,1.23114441334492,1.06437018245336
"191","YAL054C","trc",1,1.53687518128801,1.19747870461893,1.10190511587661,1.14869835499704
"192","YAL055W","trc",1,0.959264119325264,1.17283494923188,0.88884268116657,0.946057646725596
